floridi_dataset_final
chapter;theme;claim;quote;page_ref;design_guideline
Ch.1 - The Infosphere;digital environment;Floridi defines the infosphere as the total informational environment in which all agents—human and artificial—interact.;IE offers an informational, network-based conception of the environment, which now includes both natural and artificial ecosystems.;p.279–280;Design AI systems as respectful participants within the shared infosphere.
Ch.2 - Moral Agency;moral agency;"Moral action is distributed across humans and artifacts; responsibility is shared.";The use of LoAs enables one to distinguish between accountability and responsibility.;p.158–159;Implement traceable decision logs to preserve accountability across human and AI actors.
Ch.3 - Information Ethics;intrinsic value;Information has intrinsic moral worth, not only instrumental value.;IE is an environmental ethics based on information/infosphere/entropy rather than life/ecosystem/pain.;p.98–111;Avoid data destruction or manipulation that erodes informational integrity.
Ch.4 - Privacy;privacy;Privacy sustains personal identity within the infosphere and protects informational autonomy.;'Privacy is the infrastructure of personal identity.';p.243–247;Default to data-minimization and contextual integrity principles.
Ch.5 - Transparency;transparency;Opacity in algorithmic systems weakens trust and accountability.;Promoting prescriptive action is reasonable even when there is no responsibility but only moral accountability.;p.158–159;Ensure explainability proportional to the system’s social impact.
Ch.6 - Harm;informational harm;Information harms can be intangible yet morally significant.;Increase in its level of entropy and hence an instance of evil.;p.98;Anticipate and mitigate secondary inference harms in datasets.
Ch.7 - Responsibility;distributed responsibility;"In complex systems, no single agent bears all moral weight; design must assign roles clearly.";Big issues call for big agents.;p.274–276;Define explicit accountability maps between human and automated decisions.
Ch.8 - Consent;consent;Consent must be informed, revocable, and context-aware in digital interactions.;The right to informational privacy shields one’s personal identity.;p.243–247;Implement granular, revocable consent settings.
Ch.9 - Environmental Impact;eco-ethics;Digital ethics extends to environmental effects of information processes.;'The infosphere includes the natural environment as an informational ecosystem.';p.279–280;Optimize energy usage and lifecycle of AI systems.
Ch.10 - Design Ethics;ethical design;Ethical constraints are design parameters, not afterthoughts.;'Ethics must be built into the architecture of the infosphere.';p.274–275;Integrate fairness, transparency, and privacy during requirement analysis.
Ch.11 - Education;digital literacy;Ethical competence requires digital literacy and critical reflection.;IE strives to provide a good, unbiased platform from which to educate… the citizens of an information society.;p.132;Promote ethical-AI training for developers and users alike.
Ch.12 - Future of Ethics;AI governance;Floridi envisions governance as coordination of human and artificial moral agents.;'Ethical governance will be multi-agent and systemic.';p.274–276;Adopt governance models combining human oversight with AI auditing.
Ch.1 — Ethics after the information revolution;infosphere (definition);"The infosphere is the whole informational environment of entities, properties, interactions, and relations; not just cyberspace.";Minimally, it denotes the whole informational environment constituted by all informational entities…;p.6;Treat AI as a participant in a shared informational ecosystem, not just a tool.
Ch.12 — Informational privacy;ontological friction → privacy;Informational privacy varies with the 'ontological friction' that resists information flow in the infosphere.;Informational privacy is a function of the ontological friction in the infosphere.;p.231–232;Increase friction (rate limits, minimization, local processing) when data sensitivity is high.
Ch.7 — Morality of artificial agents;moral agency of AAs;Artificial agents can qualify as moral agents at appropriate levels of abstraction and be accountable sources of moral action.;The use of LoAs enables one to distinguish between accountability and responsibility.;p.158–159;Give agents accountability hooks: logs, audit trails, escalation pathways.
Ch.6 — Intrinsic value of the infosphere;ontocentric axiology;Information ethics adopts an ontocentric view: informational entities may have intrinsic moral worth.;IE replaces biosphere with infosphere… Not only inanimate but also ideal, intangible, or intellectual entities can have a minimal degree of moral value.;p.110–111;Preserve informational integrity: avoid unnecessary deletion, distortion, or entropy-creating transformations. 
Ch.1 — Ethics after the information revolution;zettabyte era & risks;ICTs create unprecedented benefits and risks, ushering a ‘zettabyte era’ with ethical dilemmas (e.g., identity theft, divides).;We are living in the age of the zettabyte… ICTs also carry significant risks and generate dilemmas…;p.5;Assess secondary effects (misuse, divides) during requirements and mitigate proactively.
